Term,Score,Polarity,isAcquired
abnormal,1,NEG,Y
abolish,1,NEG,Y
abominable,1,NEG,Y
abominably,1,NEG,Y
abominate,1,NEG,Y
abomination,1,NEG,Y
abort,1,NEG,Y
aborted,1,NEG,Y
aborts,1,NEG,Y
abound,1,POS,Y
abounds,1,POS,Y
abrade,1,NEG,Y
abrasive,1,NEG,Y
abrupt,1,NEG,Y
abruptly,1,NEG,Y
abscond,1,NEG,Y
absence,1,NEG,Y
absentee,1,NEG,Y
absurd,1,NEG,Y
absurdity,1,NEG,Y
absurdly,1,NEG,Y
absurdness,1,NEG,Y
abundance,1,POS,Y
abundant,1,POS,Y
abuse,1,NEG,Y
abused,1,NEG,Y
abuses,1,NEG,Y
abusive,1,NEG,Y
abysmal,1,NEG,Y
abysmally,1,NEG,Y
abyss,1,NEG,Y
accessable,1,POS,Y
accessible,1,POS,Y
accidental,1,NEG,Y
acclaim,1,POS,Y
acclaimed,1,POS,Y
acclamation,1,POS,Y
accolade,1,POS,Y
accolades,1,POS,Y
accommodative,1,POS,Y
accomodative,1,POS,Y
accomplish,1,POS,Y
accomplished,1,POS,Y
accomplishment,1,POS,Y
accomplishments,1,POS,Y
accost,1,NEG,Y
accurate,1,POS,Y
accurately,1,POS,Y
accursed,1,NEG,Y
accusation,1,NEG,Y
accusations,1,NEG,Y
accuse,1,NEG,Y
accuses,1,NEG,Y
accusing,1,NEG,Y
accusingly,1,NEG,Y
acerbate,1,NEG,Y
acerbic,1,NEG,Y
acerbically,1,NEG,Y
ache,1,NEG,Y
ached,1,NEG,Y
aches,1,NEG,Y
achey,1,NEG,Y
achievable,1,POS,Y
achievement,1,POS,Y
achievements,1,POS,Y
achievible,1,POS,Y
aching,1,NEG,Y
acrid,1,NEG,Y
acridly,1,NEG,Y
acridness,1,NEG,Y
acrimonious,1,NEG,Y
acrimoniously,1,NEG,Y
acrimony,1,NEG,Y
acumen,1,POS,Y
adamant,1,NEG,Y
adamantly,1,NEG,Y
adaptable,1,POS,Y
adaptive,1,POS,Y
addict,1,NEG,Y
addicted,1,NEG,Y
addicting,1,NEG,Y
addicts,1,NEG,Y
adequate,1,POS,Y
adjustable,1,POS,Y
admirable,1,POS,Y
admirably,1,POS,Y
admiration,1,POS,Y
admire,1,POS,
admirer,1,POS,Y
admiring,1,POS,Y
admiringly,1,POS,Y
admonish,1,NEG,Y
admonisher,1,NEG,Y
admonishingly,1,NEG,Y
admonishment,1,NEG,Y
admonition,1,NEG,Y
adorable,1,POS,Y
adore,1,POS,Y
adored,1,POS,Y
adorer,1,POS,Y
adoring,1,POS,Y
adoringly,1,POS,Y
adroit,1,POS,Y
adroitly,1,POS,Y
adulate,1,POS,Y
adulation,1,POS,Y
adulatory,1,POS,Y
adulterate,1,NEG,Y
adulterated,1,NEG,Y
adulteration,1,NEG,Y
adulterier,1,NEG,Y
advanced,1,POS,Y
advantage,1,POS,
advantageous,1,POS,Y
advantageously,1,POS,Y
advantages,1,POS,Y
adventuresome,1,POS,Y
adventurous,1,POS,Y
adversarial,1,NEG,Y
adversary,1,NEG,Y
adverse,1,NEG,Y
adversity,1,NEG,Y
advocate,1,POS,Y
advocated,1,POS,Y
advocates,1,POS,Y
affability,1,POS,Y
affable,1,POS,Y
affably,1,POS,Y
affectation,1,POS,Y
affection,1,POS,Y
affectionate,1,POS,Y
affinity,1,POS,Y
affirm,1,POS,Y
affirmation,1,POS,Y
affirmative,1,POS,Y
afflict,1,NEG,Y
affliction,1,NEG,Y
afflictive,1,NEG,Y
affluence,1,POS,Y
affluent,1,POS,Y
afford,1,POS,Y
affordable,1,POS,Y
affordably,1,POS,Y
affront,1,NEG,Y
afordable,1,POS,Y
afraid,1,NEG,Y
aggravate,1,NEG,
aggravating,1,NEG,Y
aggravation,1,NEG,Y
aggression,1,NEG,Y
aggressive,1,NEG,Y
aggressiveness,1,NEG,Y
aggressor,1,NEG,Y
aggrieve,1,NEG,Y
aggrieved,1,NEG,Y
aggrivation,1,NEG,Y
aghast,1,NEG,Y
agile,1,POS,Y
agilely,1,POS,Y
agility,1,POS,Y
agonies,1,NEG,Y
agonize,1,NEG,Y
agonizing,1,NEG,Y
agonizingly,1,NEG,Y
agony,1,NEG,Y
agreeable,1,POS,Y
agreeableness,1,POS,Y
agreeably,1,POS,Y
aground,1,NEG,Y
ail,1,NEG,Y
ailing,1,NEG,Y
ailment,1,NEG,Y
aimless,1,NEG,Y
alarm,1,NEG,Y
alarmed,1,NEG,Y
alarming,1,NEG,Y
alarmingly,1,NEG,Y
alienate,1,NEG,Y
alienated,1,NEG,Y
alienation,1,NEG,Y
all-around,1,POS,Y
allegation,1,NEG,Y
allegations,1,NEG,Y
allege,1,NEG,Y
allergic,1,NEG,Y
allergies,1,NEG,Y
allergy,1,NEG,Y
alluring,1,POS,Y
alluringly,1,POS,Y
aloof,1,NEG,Y
altercation,1,NEG,Y
altruistic,1,POS,Y
altruistically,1,POS,Y
amaze,1,POS,Y
amazed,1,POS,Y
amazement,1,POS,Y
amazes,1,POS,Y
amazing,1,POS,Y
amazingly,1,POS,Y
ambiguity,1,NEG,Y
ambiguous,1,NEG,Y
ambitious,1,POS,Y
ambitiously,1,POS,Y
ambivalence,1,NEG,Y
ambivalent,1,NEG,Y
ambush,1,NEG,Y
ameliorate,1,POS,Y
amenable,1,POS,Y
amenity,1,POS,Y
amiability,1,POS,Y
amiabily,1,POS,Y
amiable,1,POS,Y
amicability,1,POS,Y
amicable,1,POS,Y
amicably,1,POS,Y
amiss,1,NEG,Y
amity,1,POS,Y
ample,1,POS,Y
amply,1,POS,Y
amputate,1,NEG,Y
amuse,1,POS,Y
amusing,1,POS,Y
amusingly,1,POS,Y
anarchism,1,NEG,Y
anarchist,1,NEG,Y
anarchistic,1,NEG,Y
anarchy,1,NEG,Y
anemic,1,NEG,Y
angel,1,POS,Y
angelic,1,POS,Y
anger,1,NEG,Y
angrily,1,NEG,Y
angriness,1,NEG,Y
angry,1,NEG,Y
anguish,1,NEG,Y
animosity,1,NEG,Y
annihilate,1,NEG,Y
annihilation,1,NEG,Y
annoy,1,NEG,
annoyance,1,NEG,Y
annoyances,1,NEG,Y
annoyed,1,NEG,Y
annoying,1,NEG,Y
annoyingly,1,NEG,Y
annoys,1,NEG,Y
anomalous,1,NEG,Y
anomaly,1,NEG,Y
antagonism,1,NEG,Y
antagonist,1,NEG,Y
antagonistic,1,NEG,Y
antagonize,1,NEG,Y
anti-,1,NEG,Y
anti-american,1,NEG,Y
anti-israeli,1,NEG,Y
anti-occupation,1,NEG,Y
anti-proliferation,1,NEG,Y
anti-semites,1,NEG,Y
anti-social,1,NEG,Y
anti-us,1,NEG,Y
anti-white,1,NEG,Y
antipathy,1,NEG,Y
antiquated,1,NEG,Y
antithetical,1,NEG,Y
anxieties,1,NEG,Y
anxiety,1,NEG,Y
anxious,1,NEG,Y
anxiously,1,NEG,Y
anxiousness,1,NEG,Y
apathetic,1,NEG,Y
apathetically,1,NEG,Y
apathy,1,NEG,Y
apocalypse,1,NEG,Y
apocalyptic,1,NEG,Y
apologist,1,NEG,Y
apologists,1,NEG,Y
apotheosis,1,POS,Y
appal,1,NEG,Y
appall,1,NEG,Y
appalled,1,NEG,Y
appalling,1,NEG,Y
appallingly,1,NEG,Y
appeal,1,POS,Y
applaud,1,POS,Y
appreciable,1,POS,Y
appreciate,1,POS,Y
appreciated,1,POS,Y
appreciates,1,POS,Y
appreciation,1,POS,Y
appreciative,1,POS,Y
appreciatively,1,POS,Y
apprehension,1,NEG,Y
apprehensions,1,NEG,Y
apprehensive,1,NEG,Y
apprehensively,1,NEG,Y
approval,1,POS,Y
approve,1,POS,Y
arbitrary,1,NEG,Y
arcane,1,NEG,Y
archaic,1,NEG,Y
ardent,1,POS,Y
ardently,1,POS,Y
ardor,1,POS,Y
arduous,1,NEG,Y
arduously,1,NEG,Y
argumentative,1,NEG,Y
arrogance,1,NEG,Y
arrogant,1,NEG,Y
arrogantly,1,NEG,Y
articulate,1,POS,Y
ashamed,1,NEG,Y
asinine,1,NEG,Y
asininely,1,NEG,Y
asinininity,1,NEG,Y
askance,1,NEG,Y
asperse,1,NEG,Y
aspersion,1,NEG,Y
aspersions,1,NEG,Y
aspiration,1,POS,Y
aspirations,1,POS,Y
aspire,1,POS,Y
assail,1,NEG,Y
assassin,1,NEG,Y
assassinate,1,NEG,Y
assault,1,NEG,Y
assult,1,NEG,Y
assurance,1,POS,Y
assurances,1,POS,Y
assure,1,POS,Y
assuredly,1,POS,Y
assuring,1,POS,Y
astonish,1,POS,Y
astonished,1,POS,Y
astonishing,1,POS,Y
astonishingly,1,POS,Y
astonishment,1,POS,Y
astound,1,POS,Y
astounded,1,POS,Y
astounding,1,POS,Y
astoundingly,1,POS,Y
astray,1,NEG,Y
astutely,1,POS,Y
asunder,1,NEG,Y
atrocious,1,NEG,Y
atrocities,1,NEG,Y
atrocity,1,NEG,Y
atrophy,1,NEG,Y
attack,1,NEG,Y
attacks,1,NEG,Y
attentive,1,POS,Y
attraction,1,POS,Y
attractive,1,POS,Y
attractively,1,POS,Y
attune,1,POS,Y
audacious,1,NEG,Y
audaciously,1,NEG,Y
audaciousness,1,NEG,Y
audacity,1,NEG,Y
audible,1,POS,Y
audibly,1,POS,Y
audiciously,1,NEG,Y
auspicious,1,POS,Y
austere,1,NEG,Y
authentic,1,POS,Y
authoritarian,1,NEG,Y
authoritative,1,POS,Y
autocrat,1,NEG,Y
autocratic,1,NEG,Y
autonomous,1,POS,Y
available,1,POS,Y
avalanche,1,NEG,Y
avarice,1,NEG,Y
avaricious,1,NEG,Y
avariciously,1,NEG,Y
avenge,1,NEG,Y
aver,1,POS,Y
averse,1,NEG,Y
aversion,1,NEG,Y
avid,1,POS,Y
avidly,1,POS,Y
award,1,POS,Y
awarded,1,POS,Y
awards,1,POS,Y
awe,1,POS,Y
awed,1,POS,Y
aweful,1,NEG,Y
awesome,1,POS,Y
awesomely,1,POS,Y
awesomeness,1,POS,Y
awestruck,1,POS,Y
awful,1,NEG,Y
awfully,1,NEG,Y
awfulness,1,NEG,Y
awkward,1,NEG,Y
awkwardness,1,NEG,Y
awsome,1,POS,Y
ax,1,NEG,Y
babble,1,NEG,Y
back-logged,1,NEG,Y
back-wood,1,NEG,Y
back-woods,1,NEG,Y
backache,1,NEG,Y
backaches,1,NEG,Y
backaching,1,NEG,Y
backbite,1,NEG,Y
backbiting,1,NEG,Y
backbone,1,POS,Y
backward,1,NEG,Y
backwardness,1,NEG,Y
backwood,1,NEG,Y
backwoods,1,NEG,Y
bad,1,NEG,Y
badly,1,NEG,Y
baffle,1,NEG,Y
baffled,1,NEG,Y
bafflement,1,NEG,Y
baffling,1,NEG,Y
bait,1,NEG,Y
balanced,1,POS,Y
balk,1,NEG,Y
banal,1,NEG,Y
banalize,1,NEG,Y
bane,1,NEG,Y
banish,1,NEG,Y
banishment,1,NEG,Y
bankrupt,1,NEG,Y
barbarian,1,NEG,Y
barbaric,1,NEG,Y
barbarically,1,NEG,Y
barbarity,1,NEG,Y
barbarous,1,NEG,Y
barbarously,1,NEG,Y
bargain,1,POS,Y
barren,1,NEG,Y
baseless,1,NEG,Y
bash,1,NEG,Y
bashed,1,NEG,Y
bashful,1,NEG,Y
bashing,1,NEG,Y
bastard,1,NEG,Y
bastards,1,NEG,Y
battered,1,NEG,Y
battering,1,NEG,Y
batty,1,NEG,Y
bearish,1,NEG,Y
beastly,1,NEG,Y
beauteous,1,POS,Y
beautiful,1,POS,Y
beautifullly,1,POS,Y
beautifully,1,POS,Y
beautify,1,POS,Y
beauty,1,POS,Y
beckon,1,POS,Y
beckoned,1,POS,Y
beckoning,1,POS,Y
beckons,1,POS,Y
bedlam,1,NEG,Y
bedlamite,1,NEG,Y
befoul,1,NEG,Y
beg,1,NEG,Y
beggar,1,NEG,Y
beggarly,1,NEG,Y
begging,1,NEG,Y
beguile,1,NEG,Y
belabor,1,NEG,Y
belated,1,NEG,Y
beleaguer,1,NEG,Y
belie,1,NEG,Y
believable,1,POS,Y
believeable,1,POS,Y
belittle,1,NEG,Y
belittled,1,NEG,Y
belittling,1,NEG,Y
bellicose,1,NEG,Y
belligerence,1,NEG,Y
belligerent,1,NEG,Y
belligerently,1,NEG,Y
beloved,1,POS,Y
bemoan,1,NEG,Y
bemoaning,1,NEG,Y
bemused,1,NEG,Y
benefactor,1,POS,Y
beneficent,1,POS,Y
beneficial,1,POS,Y
beneficially,1,POS,Y
beneficiary,1,POS,Y
benefit,1,POS,Y
benefits,1,POS,Y
benevolence,1,POS,Y
benevolent,1,POS,Y
benifits,1,POS,Y
bent,1,NEG,Y
berate,1,NEG,Y
bereave,1,NEG,Y
bereavement,1,NEG,Y
bereft,1,NEG,Y
berserk,1,NEG,Y
beseech,1,NEG,Y
beset,1,NEG,Y
besiege,1,NEG,Y
besmirch,1,NEG,Y
best,1,POS,Y
best-known,1,POS,Y
best-performing,1,POS,Y
best-selling,1,POS,Y
bestial,1,NEG,Y
betray,1,NEG,Y
betrayal,1,NEG,Y
betrayals,1,NEG,Y
betrayer,1,NEG,Y
betraying,1,NEG,Y
betrays,1,NEG,Y
better,1,POS,Y
better-known,1,POS,Y
better-than-expected,1,POS,Y
beutifully,1,POS,Y
bewail,1,NEG,Y
beware,1,NEG,Y
bewilder,1,NEG,Y
bewildered,1,NEG,Y
bewildering,1,NEG,Y
bewilderingly,1,NEG,Y
bewilderment,1,NEG,Y
bewitch,1,NEG,Y
bias,1,NEG,Y
biased,1,NEG,Y
biases,1,NEG,Y
bicker,1,NEG,Y
bickering,1,NEG,Y
bid-rigging,1,NEG,Y
bigotries,1,NEG,Y
bigotry,1,NEG,Y
bitch,1,NEG,Y
bitchy,1,NEG,Y
biting,1,NEG,Y
bitingly,1,NEG,Y
bitter,1,NEG,Y
bitterly,1,NEG,Y
bitterness,1,NEG,Y
bizarre,1,NEG,Y
blab,1,NEG,Y
blabber,1,NEG,Y
blackmail,1,NEG,Y
blah,1,NEG,Y
blame,1,NEG,Y
blameless,1,POS,Y
blameworthy,1,NEG,Y
bland,1,NEG,Y
blandish,1,NEG,Y
blaspheme,1,NEG,Y
blasphemous,1,NEG,Y
blasphemy,1,NEG,Y
blasted,1,NEG,Y
blatant,1,NEG,Y
blatantly,1,NEG,Y
blather,1,NEG,Y
bleak,1,NEG,Y
bleakly,1,NEG,Y
bleakness,1,NEG,Y
bleed,1,NEG,Y
bleeding,1,NEG,Y
bleeds,1,NEG,Y
blemish,1,NEG,Y
bless,1,POS,Y
blessing,1,POS,Y
blind,1,NEG,Y
blinding,1,NEG,Y
blindingly,1,NEG,Y
blindside,1,NEG,Y
bliss,1,POS,Y
blissful,1,POS,Y
blissfully,1,POS,Y
blister,1,NEG,Y
blistering,1,NEG,Y
blithe,1,POS,Y
bloated,1,NEG,Y
blockage,1,NEG,Y
blockbuster,1,POS,Y
blockhead,1,NEG,Y
bloodshed,1,NEG,Y
bloodthirsty,1,NEG,Y
bloody,1,NEG,Y
bloom,1,POS,Y
blossom,1,POS,Y
blotchy,1,NEG,Y
blow,1,NEG,Y
blunder,1,NEG,Y
blundering,1,NEG,Y
blunders,1,NEG,Y
blunt,1,NEG,Y
blur,1,NEG,Y
bluring,1,NEG,Y
blurred,1,NEG,Y
blurring,1,NEG,Y
blurry,1,NEG,Y
blurs,1,NEG,Y
blurt,1,NEG,Y
boastful,1,NEG,Y
boggle,1,NEG,Y
bogus,1,NEG,Y
boil,1,NEG,Y
boiling,1,NEG,Y
boisterous,1,NEG,Y
bolster,1,POS,Y
bomb,1,NEG,Y
bombard,1,NEG,Y
bombardment,1,NEG,Y
bombastic,1,NEG,Y
bondage,1,NEG,Y
bonkers,1,NEG,Y
bonny,1,POS,Y
bonus,1,POS,Y
bonuses,1,POS,Y
boom,1,POS,Y
booming,1,POS,Y
boost,1,POS,Y
bore,1,NEG,Y
bored,1,NEG,Y
boredom,1,NEG,Y
bores,1,NEG,Y
boring,1,NEG,Y
botch,1,NEG,Y
bother,1,NEG,Y
bothered,1,NEG,Y
bothering,1,NEG,Y
bothers,1,NEG,Y
bothersome,1,NEG,Y
boundless,1,POS,Y
bountiful,1,POS,Y
bowdlerize,1,NEG,Y
boycott,1,NEG,Y
braggart,1,NEG,Y
bragger,1,NEG,Y
brainiest,1,POS,Y
brainless,1,NEG,Y
brainwash,1,NEG,Y
brainy,1,POS,Y
brand-new,1,POS,Y
brash,1,NEG,Y
brashly,1,NEG,Y
brashness,1,NEG,Y
brat,1,NEG,Y
bravado,1,NEG,Y
brave,1,POS,Y
bravery,1,POS,Y
bravo,1,POS,Y
brazen,1,NEG,Y
brazenly,1,NEG,Y
brazenness,1,NEG,Y
breach,1,NEG,Y
break,1,NEG,Y
break-up,1,NEG,Y
break-ups,1,NEG,Y
breakdown,1,NEG,Y
breaking,1,NEG,Y
breaks,1,NEG,Y
breakthrough,1,POS,Y
breakthroughs,1,POS,Y
breakup,1,NEG,Y
breakups,1,NEG,Y
breathlessness,1,POS,Y
breathtaking,1,POS,Y
breathtakingly,1,POS,Y
breeze,1,POS,Y
bribery,1,NEG,Y
bright,1,POS,Y
brighten,1,POS,Y
brighter,1,POS,Y
brightest,1,POS,Y
brilliance,1,POS,Y
brilliances,1,POS,Y
brilliant,1,POS,Y
brilliantly,1,POS,Y
brimstone,1,NEG,Y
brisk,1,POS,Y
bristle,1,NEG,Y
brittle,1,NEG,Y
broke,1,NEG,Y
broken,1,NEG,Y
broken-hearted,1,NEG,Y
brood,1,NEG,Y
brotherly,1,POS,Y
browbeat,1,NEG,Y
bruise,1,NEG,Y
bruised,1,NEG,Y
bruises,1,NEG,Y
bruising,1,NEG,Y
brusque,1,NEG,Y
brutal,1,NEG,Y
brutalising,1,NEG,Y
brutalities,1,NEG,Y
brutality,1,NEG,Y
brutalize,1,NEG,Y
brutalizing,1,NEG,Y
brutally,1,NEG,Y
brute,1,NEG,Y
brutish,1,NEG,Y
bs,1,NEG,Y
buckle,1,NEG,Y
bug,1,NEG,Y
bugging,1,NEG,Y
buggy,1,NEG,Y
bugs,1,NEG,Y
bulkier,1,NEG,Y
